artist,minimum,LF,RF,maximum,na.rm,out.of.range,unusual,description,feature
All Get Out,0.71010154485700006,0.5175292044899998,1.745809182525,2.55099225044,TRUE,TRUE,TRUE,Out of Range,barkbands_skewness
Manchester Orchestra,0.835669994354,0.3961268663350004,2.5004743337649997,4.19446372986,TRUE,FALSE,TRUE,Unusual,barkbands_skewness
The Front Bottoms,0.745804548264,1.03211659194,2.06421524286,2.40908789635,TRUE,TRUE,TRUE,Out of Range,barkbands_skewness
All Get Out,0.617540478706,-2.6464365720737493,7.876433730128749,17.6760120392,TRUE,TRUE,TRUE,Out of Range,barkbands_kurtosis
Manchester Orchestra,0.220867827535,-9.460241794649999,19.287594318449997,43.711517334,TRUE,FALSE,TRUE,Unusual,barkbands_kurtosis
The Front Bottoms,1.14310264587,-3.575279951085,11.969886541365,23.8971691132,TRUE,TRUE,TRUE,Out of Range,barkbands_kurtosis
All Get Out,0.0835188701749,0.05833316594349997,0.16615568846500003,0.249889358878,TRUE,FALSE,TRUE,Unusual,barkbands_flatness_db
Manchester Orchestra,0.0902328193188,0.020922265946499985,0.2723883464935,0.335988044739,TRUE,FALSE,FALSE,Within Range,barkbands_flatness_db
The Front Bottoms,0.0953515022993,0.09899638593150002,0.16169704496850001,0.191619604826,TRUE,TRUE,TRUE,Out of Range,barkbands_flatness_db
All Get Out,7.01232099533,6.935364246367498,10.5893440246575,13.4127187729,TRUE,FALSE,TRUE,Unusual,barkbands_crest
Manchester Orchestra,8.57054424286,6.7501516342,12.95982456208,15.6588315964,TRUE,FALSE,FALSE,Within Range,barkbands_crest
The Front Bottoms,8.11133861542,7.7973189354249985,12.024340152715,12.9901924133,TRUE,FALSE,FALSE,Within Range,barkbands_crest
All Get Out,0.15663202107,0.6983871012931251,0.998561337590375,0.969071567059,TRUE,FALSE,TRUE,Unusual,average_loudness
Manchester Orchestra,0.00231060013175,0.011377990244499925,1.1005440354355,0.969001412392,TRUE,FALSE,FALSE,Within Range,average_loudness
The Front Bottoms,0.545008778572,0.8500483930099999,0.9755777418620001,0.977469146252,TRUE,FALSE,TRUE,Unusual,average_loudness
All Get Out,280,232,592,772,TRUE,FALSE,FALSE,Within Range,beats_count
Manchester Orchestra,163,221,653,849,TRUE,FALSE,FALSE,Within Range,beats_count
The Front Bottoms,180,192.5,615.5,742,TRUE,FALSE,FALSE,Within Range,beats_count
All Get Out,0.0210611540824,0.01820656098427502,0.046495344489824994,0.0585916265845,TRUE,FALSE,FALSE,Within Range,beats_loudness
Manchester Orchestra,0.0123256882653,0.005078636109949998,0.05198732018465,0.0775790438056,TRUE,FALSE,FALSE,Within Range,beats_loudness
The Front Bottoms,0.0287638884038,0.020937373861650007,0.06686129607255,0.0829901695251,TRUE,FALSE,FALSE,Within Range,beats_loudness
All Get Out,85,97.5,148.5,161,TRUE,FALSE,FALSE,Within Range,bpm_histogram_first_peak_bpm
Manchester Orchestra,67,71.5,158.5,185,TRUE,FALSE,FALSE,Within Range,bpm_histogram_first_peak_bpm
The Front Bottoms,81,84,156,167,TRUE,FALSE,FALSE,Within Range,bpm_histogram_first_peak_bpm
All Get Out,0.0285714268684,0.048729114234250054,0.4720912650227499,0.575581431389,TRUE,FALSE,FALSE,Within Range,bpm_histogram_first_peak_weight
Manchester Orchestra,0,-0.09612250328049998,0.6050831079485,0.713513493538,TRUE,FALSE,FALSE,Within Range,bpm_histogram_first_peak_weight
The Front Bottoms,0,-0.07125088572600002,0.595060437918,0.6213991642,TRUE,FALSE,FALSE,Within Range,bpm_histogram_first_peak_weight
All Get Out,92,87,153,172,TRUE,FALSE,FALSE,Within Range,bpm_histogram_second_peak_bpm
Manchester Orchestra,0,70.5,163.5,178,TRUE,FALSE,FALSE,Within Range,bpm_histogram_second_peak_bpm
The Front Bottoms,77,64.5,169.5,178,TRUE,FALSE,FALSE,Within Range,bpm_histogram_second_peak_bpm
All Get Out,0,-0.3023503944277499,0.5661843344572499,0.611111104488,TRUE,FALSE,FALSE,Within Range,bpm_histogram_second_peak_spread
